__id__,canal,cantidad,company,cp,createdAt,daysToDelivery,error,errorMessage,fechaCompra,fechaEstimada,fulfillmentType,isFlash,isMarketplace,noPedido,plan,productType,sku,storeSelected,tipoPago,edd1,edd2
00ESOmGuuX1VGqlFH4FX,APP,1,LP,3330,__Timestamp__2024-07-30T15:29:31.637Z,N/A,4,,__Timestamp__2024-07-30T15:29:18.000Z,Por ahora no es posible mostrar la fecha de entrega.,Liverpool_CNC_PICK_PACK,,FALSE,6050000169,null,Soft Line,1032003148,,paypal,,
00J16SBYvaWl2KuMlBbC,APV AND,1,LP,52040,__Timestamp__2025-01-30T18:53:20.502Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,5320000197,B,,1029124791,103,Efectivo,,
00KufgIyTGhpakBuIGmO,APV AND,2,LP,31607,__Timestamp__2025-01-16T19:05:02.054Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,200000189,B,,12896964,103,Efectivo,,
00S5RXT4s0UaUUJWAFoC,WEB,2,LP,11000,__Timestamp__2024-07-30T18:56:37.032Z,0,,,__Timestamp__2024-07-30T18:56:26.000Z,30 de julio,Liverpool_CNC_PICK_PACK,,FALSE,150000179,null,Soft Line,1031991036,3,creditCard,,
00Ya320wYIQ2CuKIucs5,WEB,1,LP,6720,__Timestamp__2024-12-10T23:41:46.339Z,N/A,4,,__Timestamp__2024-12-10T23:40:16.000Z,Por ahora no es posible mostrar la fecha de entrega.,Fulfillment_Type_Liverpool,,FALSE,9800001878,null,Big Ticket,1031109015,N/A,creditCard,,
00Zx00TG5AusMc68WjqV,APV AND,1,LP,86100,__Timestamp__2025-05-07T14:31:06.938Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,7770000201,B,,76758565,103,Efectivo,,
00cGex3JjZd53UkzM9OY,APV AND,1,LP,45020,__Timestamp__2024-12-24T14:34:07.656Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,4040000206,B,,11764550,103,Efectivo,,
00dpqlseVCcf4bqjdM6A,WEB,2,LP,86205,__Timestamp__2025-03-04T15:58:24.009Z,3,,,__Timestamp__2025-03-04T15:58:20.000Z,10 de marzo-13 de marzo,Liverpool_CNC_PICK_PACK,,FALSE,890001324,A,Soft Line,1005764773,1,creditCard,10/03/2025,13/03/2025
00eQ22XhQKvzZmQAonxJ,WEB,1,SBB,3300,__Timestamp__2024-09-25T15:36:53.045Z,0,,,__Timestamp__2024-09-25T15:36:48.000Z,15 de octubre-25 de octubre,Fulfillment_Type_Liverpool,,FALSE,sg1928340231,null,Soft Line,SB3482553,N/A,creditCard,,
00hgJXKdaHs6w9jbE7ad,WEB,1,LP,31626,__Timestamp__2024-09-30T16:06:08.093Z,3,,,__Timestamp__2024-09-30T16:05:56.000Z,Por ahora no es posible mostrar la fecha de entrega.,Fulfillment_Type_Liverpool,,FALSE,7050000188,null,Soft Line,1031300513,895,creditCard,,
00i1U43RuIoxkP2Nc5gW,WEB,1,LP,51350,__Timestamp__2024-09-23T15:02:45.603Z,3,,,__Timestamp__2024-09-23T15:02:37.000Z,10 de octubre-13 de octubre,Fulfillment_Type_Liverpool,,FALSE,6550000183,null,Soft Line,83294094,103,creditCard,,
00ikm3qoBzG4lla07GGn,APV AND,1,LP,60955,__Timestamp__2024-08-27T00:51:03.416Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,7260000182,B,,1029124791,103,Efectivo,,
00jTlthblCYSXhLXmYMK,WEB,1,SBB,5348,__Timestamp__2025-02-10T23:57:17.307Z,10,,,__Timestamp__2025-02-10T23:57:08.000Z,26 de febrero-08 de marzo,Fulfillment_Type_Liverpool,,FALSE,sg1949840272,A,Big Ticket,SB5000217141,830,creditCard,26/02/2025,08/03/2025
00lWSpdg7FF8APi6Msff,WEB,3,LP,3100,__Timestamp__2024-08-19T18:49:14.151Z,3,,,__Timestamp__2024-08-19T18:49:04.000Z,20 de agosto-23 de agosto,Liverpool_CNC_PICK_PACK,,FALSE,5050000157,null,Soft Line,1029124821,81,creditCard,,
00qonfNu6Ns5anSp5leK,APV AND,1,LP,81270,__Timestamp__2025-01-20T18:34:24.816Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,3750000435,B,,1029819994,103,Efectivo,Recibe mañana,18 de Julio
00rb12MGnJJfeTrJlGOg,APV AND,1,LP,5348,__Timestamp__2025-05-07T13:48:26.134Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,5150000222,B,,1028587607,103,Efectivo,,
00rbDR2kSUKQLJcqHsUl,WEB,1,LP,11560,__Timestamp__2025-05-08T21:25:11.849Z,N/A,,,__Timestamp__2025-05-08T21:22:33.000Z,Por ahora no es posible mostrar la fecha de entrega.,Fulfillment_Type_Liverpool,,FALSE,6010000206,null,Soft Line,1030507335,N/A,creditCard,,
00rnR5faL9j0LzJ13mUx,APV AND,1,LP,52787,__Timestamp__2024-11-13T13:36:38.524Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,1039123425,B,,4557573,103,Efectivo,,
018PR8wq83bC5NHGOnqW,WEB,1,SBB,1100,__Timestamp__2024-09-24T19:01:48.712Z,0,,,__Timestamp__2024-09-24T19:01:43.000Z,14 de octubre-24 de octubre,Fulfillment_Type_Liverpool,,FALSE,sg1928050620,null,Soft Line,SB3631512,N/A,creditCard,,
01AUnZdm5BX8Kt5c4z9V,APV AND,1,LP,73657,__Timestamp__2025-05-12T23:56:50.519Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,7350000217,B,,1031991036,103,Efectivo,,
01EgqqV9pRDI8awLVvUV,APV AND,1,LP,53100,__Timestamp__2024-08-28T18:54:57.831Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,7410000172,B,,37337978,103,Efectivo,,
01U457RY2FPzma8GxneY,WEB,1,SBB,1030,__Timestamp__2025-05-15T07:08:10.054Z,N/A,4,No se cuenta con inventario suficiemte,__Timestamp__2025-05-15T07:08:06.000Z,Por ahora no es posible mostrar la fecha de entrega.,Fulfillment_Type_Liverpool,,FALSE,sg1968440183,null,Big Ticket,SB5000195105,N/A,creditCard,,
01U7K0XoqF3NXZVN2Mwg,APV AND,1,LP,54770,__Timestamp__2025-04-24T14:27:26.583Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,350000233,B,,1029124783,103,Efectivo,,
01dynhk96Q6gLiMPnETl,APV AND,1,LP,5348,__Timestamp__2024-12-20T18:02:38.112Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,600000196,B,,4557573,103,Efectivo,,
01hJj8PUZW9MX1YNlmck,MOBILE,1,LP,53100,__Timestamp__2025-02-11T23:26:11.848Z,0,,,__Timestamp__2025-02-11T23:25:59.000Z,03 de marzo-13 de marzo,Liverpool_CNC_PICK_PACK,,FALSE,1200000205,B,Soft Line,1031250443,N/A,creditCard,03/03/2025,13/03/2025
01iqcam1qiA4izPcObW7,WEB,5,LP,45020,__Timestamp__2024-11-07T16:07:20.110Z,3,,,__Timestamp__2024-11-07T16:07:09.000Z,08 de noviembre-11 de noviembre,Fulfillment_Type_Liverpool,,FALSE,7190000174,null,Soft Line,1011659612,53,creditCard,,
01jLdOAolmtzO0uBO8A5,APV AND,1,LP,28000,__Timestamp__2025-02-13T00:12:07.699Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,8470000216,B,,1003667614,103,Efectivo,,
01jjTmydCzn2wlpXJrDB,WEB,1,LP,5348,__Timestamp__2024-07-16T00:27:04.405Z,N/A,,,__Timestamp__2024-07-16T00:26:52.000Z,Por ahora no es posible mostrar la fecha de entrega.,Liverpool_CNC_PICK_PACK,,FALSE,3870001141,null,Soft Line,12439482,N/A,creditCard,,
01ohF5X5UrtNf6ZagcWb,APV AND,1,LP,64985,__Timestamp__2025-05-07T13:57:27.649Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,5250000209,B,,1019935708,103,Efectivo,,
01y5S1oJ1IBMnIAYPKZR,WEB,1,LP,54769,__Timestamp__2024-09-12T18:03:40.731Z,0,,,__Timestamp__2024-09-12T18:03:32.000Z,12 de septiembre,Liverpool_CNC_PICK_PACK,,FALSE,3980000176,null,Soft Line,1005348036,29,creditCard,,
01zIfQogciWG06xQsuFX,APP,1,SBB,6060,__Timestamp__2024-07-02T01:07:04.822Z,6,,,01 de julio de 2024 19:06,04 de julio-09 de julio,Fulfillment_Type_Liverpool,,FALSE,sg1913900404,null,Soft Line,SB3793964,497,creditCard,,
0285NfCglKZFfw9PjarM,WEB,1,LP,51350,__Timestamp__2024-09-05T15:27:50.636Z,3,,,__Timestamp__2024-09-05T15:27:41.000Z,Por ahora no es posible mostrar la fecha de entrega.,Fulfillment_Type_Liverpool,,FALSE,7950000174,null,Soft Line,1032804876,1017,creditCard,,
02FwgNTSvMqtElTl785t,WEB,3,LP,1030,__Timestamp__2024-09-12T02:30:40.008Z,3,,,__Timestamp__2024-09-12T02:30:30.000Z,12 de septiembre-15 de septiembre,Fulfillment_Type_Liverpool,,FALSE,6800000195,null,Soft Line,1029124821,2,creditCard,,
02Kyy2gBlLbew39sKw6G,APP,6,SBB,11000,__Timestamp__2024-11-22T18:20:58.759Z,N/A,3,Parametros no validos por el OMS / El SKU no esta dado de alta en OMS,__Timestamp__2024-11-22T18:20:52.000Z,El Código Postal es incorrecto.,Fulfillment_Type_Liverpool,,FALSE,sg1938720668,null,Soft Line,SB1030677508,N/A,creditCard,,
02Qe9OQCBMRX8sxuZjV9,WEB,1,LP,58330,__Timestamp__2024-10-11T18:03:56.619Z,3,,,__Timestamp__2024-10-11T18:03:48.000Z,Por ahora no es posible mostrar la fecha de entrega.,Fulfillment_Type_Liverpool,,FALSE,2880000184,null,Soft Line,1031311612,,creditCard,,
02RYoFaxTr0CAHaA8p34,APV AND,1,LP,1030,__Timestamp__2025-02-07T19:09:29.407Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,4560001717,B,,1030508145,103,Efectivo,,
02Xu8S2yht9BaFb6Jaag,WEB,2,LP,54310,__Timestamp__2024-07-15T16:55:16.869Z,10,,,__Timestamp__2024-07-15T16:55:15.000Z,13 de agosto-23 de agosto,Fulfillment_Type_Liverpool,,FALSE,9613536953,null,Big Ticket,1032795478,830,creditCard,,
02bv8zKDyvJjUPFycTCq,APV AND,1,LP,14300,__Timestamp__2024-11-09T00:59:15.684Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,1030000208,B,,1029124791,103,Efectivo,,
02clS5ZB5YuRkquIavSM,WEB,1,LP,50160,__Timestamp__2024-11-20T16:36:25.226Z,10,,,__Timestamp__2024-11-20T16:36:12.000Z,23 de noviembre-03 de diciembre,Fulfillment_Type_Liverpool,,FALSE,9613676080,null,Big Ticket,1033036473,830,creditCard,,
02fyQiWHfbD9YOijcf22,APV AND,1,LP,52040,__Timestamp__2025-03-12T05:04:01.066Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,8090000209,B,,1029124791,103,Efectivo,,
02nkPwImlosiIsI1kV06,WEB,1,LP,6720,__Timestamp__2025-02-20T19:02:01.152Z,0,,,__Timestamp__2025-02-20T19:01:57.000Z,20 de febrero-24 de febrero,Fulfillment_Type_Liverpool,,FALSE,4680001630,A,Soft Line,1031250401,2,creditCard,20/02/2025,24/02/2025
02q7suVHatdiUhSvpkG1,WEB,2,LP,3100,__Timestamp__2025-01-16T00:09:37.393Z,0,,,__Timestamp__2025-01-16T00:09:32.000Z,15 de enero-19 de enero,Liverpool_CNC_PICK_PACK,,FALSE,2170000215,A,Soft Line,1005764773,2,creditCard,,
02vHYS6rXz1Z1q20f2u3,APV AND,2,LP,03330+,__Timestamp__2024-08-27T00:54:03.916Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,5340000144,B,,1029124821,103,Efectivo,,
02ykeyAOO1Vjx8Q3O41o,APV AND,2,LP,14300,__Timestamp__2024-12-05T16:43:33.177Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,2510000189,B,,1032902266,103,Efectivo,,
02zehhx8xbdCYUlJikMy,APV AND,2,LP,31607,__Timestamp__2024-11-13T13:42:46.801Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,1039931033,B,,60585873,103,Efectivo,,
036yzZG8VfzF67h5YxlY,WEB,1,SBB,4100,__Timestamp__2025-02-28T14:08:09.549Z,N/A,4,No se cuenta con inventario suficiemte,__Timestamp__2025-02-28T14:08:06.000Z,Por ahora no es posible mostrar la fecha de entrega.,Fulfillment_Type_Liverpool,,TRUE,7260000225,null,Soft Line,1030694691,N/A,creditCard,,
03GfaOVMnalYky1GejfB,WEB,1,LP,11000,__Timestamp__2025-03-14T17:06:31.464Z,0,,,__Timestamp__2025-03-14T17:06:27.000Z,15 de marzo-18 de marzo,Fulfillment_Type_Liverpool,,TRUE,7130000193,null,Soft Line,1030694704,N/A,creditCard,15/03/2025,18/03/2025
03IwaRSZukrVjwB2XJ14,APV AND,2,LP,14300,__Timestamp__2024-10-10T15:43:36.043Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,770000175,B,,1031270932,103,Efectivo,,
03LqdbbJoiZVEy6hPi8J,WEB,1,SBB,6060,__Timestamp__2024-07-04T19:02:34.322Z,N/A,4,No se cuenta con inventario suficiemte,04 de julio de 2024 13:02,Por ahora no es posible mostrar la fecha de entrega.,Fulfillment_Type_Liverpool,,FALSE,sg1914620928,null,Soft Line,SB3810479,N/A,paypal,,
03MmDku8oXKVyLzZtjvX,APP,1,LP,5348,__Timestamp__2024-06-26T15:47:58.639Z,3,,,26 de junio de 2024 09:47,30 de junio-03 de julio,Fulfillment_Type_Liverpool,,FALSE,660000154,null,Soft Line,1030521826,125,creditCard,,
03OphytfKWZ4M6L740Ec,APV AND,2,LP,5348,__Timestamp__2025-01-28T19:08:17.345Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,20000221,B,,11764550,103,Efectivo,,
03Uw6YxN9ulw5E6Q7jAb,APV AND,1,LP,31607,__Timestamp__2025-01-16T19:10:57.647Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,3220000184,B,,12439482,103,Efectivo,,
03VWVgAHj28dASpI1ahQ,APV AND,2,LP,3100,__Timestamp__2024-12-24T15:39:02.602Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,8890000196,B,,11764550,103,Efectivo,,
03Xv0KBokduo9gcCSafN,WEB,1,LP,11560,__Timestamp__2025-01-15T14:44:27.652Z,0,,,__Timestamp__2025-01-15T14:44:25.000Z,19 de enero-22 de enero,Fulfillment_Type_Liverpool,,TRUE,1370000183,null,Soft Line,1030694704,N/A,creditCard,,
03bGZNhX4VK4AykG3wwc,APP,1,SBB,1400,__Timestamp__2024-12-10T23:32:57.489Z,10,,,__Timestamp__2024-12-10T23:32:52.000Z,13 de diciembre-23 de diciembre,Fulfillment_Type_Liverpool,,FALSE,sg1941330579,A,Big Ticket,SB5000217672,830,creditCard,,
03eypjWtkINsX2OeFfj6,APP,2,SBB,11000,__Timestamp__2025-03-20T01:34:43.618Z,0,,,__Timestamp__2025-03-20T01:34:34.000Z,22 de marzo-26 de marzo,Fulfillment_Type_Liverpool,,TRUE,6250000209,null,Soft Line,1030694712,N/A,creditCard,22/03/2025,26/03/2025
03gouF0gYKKD0KwMiqRH,APV AND,1,LP,52040,__Timestamp__2025-02-05T16:10:05.771Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,4890001256,B,,1029124791,103,Efectivo,,
03l4fcEi5EaJllloYvck,WEB,1,LP,5348,__Timestamp__2025-03-14T00:36:03.136Z,0,,,__Timestamp__2025-03-14T00:35:55.000Z,14 de marzo-17 de marzo,Fulfillment_Type_Liverpool,,TRUE,8130000209,A,Soft Line,1030694691,N/A,creditCard,14/03/2025,17/03/2025
03mucHVSysDuHnowXAg6,WEB,1,LP,3100,__Timestamp__2025-02-05T23:07:23.829Z,0,,,__Timestamp__2025-02-05T23:07:21.000Z,05 de febrero-09 de febrero,Liverpool_CNC_PICK_PACK,,FALSE,3350000219,A,Soft Line,1032290554,2,creditCard,05/02/2025,09/02/2025
03pfQ0GKsdcigIybTokR,WEB,2,SBB,3300,__Timestamp__2024-12-30T22:46:06.110Z,10,,,__Timestamp__2024-12-30T22:45:59.000Z,30 de enero-09 de febrero,Fulfillment_Type_Liverpool,,FALSE,sg1943030233,A,Big Ticket,SB5000270409,830,creditCard,,
03wjXb7IaPO77Ihyw5Nm,APV AND,1,LP,31624,__Timestamp__2025-04-30T22:42:03.558Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,2010000204,B,,1031991036,103,Efectivo,,
03zSrtfiKRu5WqEFfcvq,WEB,1,SBB,4100,__Timestamp__2025-03-05T14:22:58.095Z,N/A,,,__Timestamp__2025-03-05T14:22:55.000Z,Por ahora no es posible mostrar la fecha de entrega.,Fulfillment_Type_Liverpool,,TRUE,1970000210,null,Soft Line,1030856925,N/A,creditCard,,
041QKokMWILbJLY9kmc1,APP,1,SBB,57840,__Timestamp__2024-10-29T00:07:28.840Z,0,,,__Timestamp__2024-10-29T00:07:17.000Z,09 de noviembre-11 de noviembre,Fulfillment_Type_Liverpool,,FALSE,sg1933650552,null,Soft Line,SB3879529,N/A,creditCard,,
045xpdqIvaCXVc1qlGIo,WEB,1,LP,1400,__Timestamp__2025-02-13T11:37:35.222Z,N/A,,,__Timestamp__2025-02-13T11:37:30.000Z,Por ahora no es posible mostrar la fecha de entrega.,Fulfillment_Type_Liverpool,,TRUE,399004000,null,Soft Line,1030856925,N/A,digitalWallet,,
0472jNyUbWXmMmM1JJQZ,WEB,1,LP,8500,__Timestamp__2024-09-18T15:46:20.439Z,0,,,__Timestamp__2024-09-18T15:46:08.000Z,18 de septiembre,Fulfillment_Type_Liverpool,,FALSE,8950000183,null,Soft Line,18254751,2,creditCard,,
049M5cGBkDu5ySU2FCbG,APP,2,LP,56656,__Timestamp__2024-07-25T00:52:29.241Z,10,,,__Timestamp__2024-07-25T00:52:02.000Z,13 de agosto-23 de agosto,Fulfillment_Type_Liverpool,,FALSE,9613550624,null,Big Ticket,1032795460,98,creditCard,,
04EnjkCOXCZGFixhNOUW,WEB,3,LP,5348,__Timestamp__2025-01-14T14:00:24.911Z,0,,,__Timestamp__2025-01-14T14:00:08.000Z,22 de enero-30 de enero,Liverpool_CNC_PICK_PACK,,FALSE,110000201,B,Soft Line,1026121228,,creditCard,,
04I7XeD9IJ6Z1EqIC2mV,APV AND,1,LP,52040,__Timestamp__2025-01-30T18:48:35.058Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 18 julio - Dom 21 julio,,TRUE,FALSE,480000203,B,,1029124791,103,Efectivo,,
04M7yvuEyeSjaFxgXl4b,WEB,1,LP,11000,__Timestamp__2025-02-17T20:40:50.884Z,0,,,__Timestamp__2025-02-17T20:40:37.000Z,17 de febrero-21 de febrero,Fulfillment_Type_Liverpool,,FALSE,3240000212,A,Soft Line,1030965368,2,paypal,17/02/2025,21/02/2025
04OkApBx9HrXJSgUyqKI,WEB,1,LP,3100,__Timestamp__2025-02-25T18:39:51.096Z,0,,,__Timestamp__2025-02-25T18:39:45.000Z,28 de febrero-03 de marzo,Liverpool_CNC_PICK_PACK,,TRUE,1830000223,null,Soft Line,1030694691,N/A,creditCard,28/02/2025,03/03/2025
04Wko2DUg5hGTy6Nb99H,APV AND,1,LP,73657,__Timestamp__2025-05-12T16:20:49.952Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,790000209,B,,1031991036,103,Efectivo,,
04YKBVsYRx5TJ8cUpcAt,WEB,1,LP,5348,__Timestamp__2024-11-14T17:31:05.588Z,N/A,,,__Timestamp__2024-11-14T17:30:50.000Z,Por ahora no es posible mostrar la fecha de entrega.,Liverpool_CNC_PICK_PACK,,FALSE,290000171,null,Soft Line,1030507700,N/A,creditCard,,
04a5q0tHwJZVGYwZAaGC,WEB,5,LP,3100,__Timestamp__2024-11-14T16:28:01.994Z,0,,,__Timestamp__2024-11-14T16:27:46.000Z,04 de diciembre-14 de diciembre,Liverpool_CNC_PICK_PACK,,FALSE,3500000988,B,Soft Line,1011573670,N/A,creditCard,,
04jDrbHsFuhubRdwgEAo,WEB,1,LP,1100,__Timestamp__2024-09-10T15:41:21.926Z,3,,,__Timestamp__2024-09-10T15:41:12.000Z,11 de septiembre-14 de septiembre,Fulfillment_Type_Liverpool,,FALSE,8340000209,null,Soft Line,1031300441,7,creditCard,,
04kHHLlKz0Wtdh4rYQFB,APV AND,1,LP,3100,__Timestamp__2025-05-08T17:44:22.386Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,5850000217,B,,1002319922,103,Efectivo,,
04rjTE9YHiTFCv4C4ekW,WEB,1,SBB,11560,__Timestamp__2024-12-04T13:45:46.600Z,0,,,__Timestamp__2024-12-04T13:45:32.000Z,08 de diciembre-13 de diciembre,Fulfillment_Type_Liverpool,,TRUE,4740000166,null,Big Ticket,1030430707,N/A,creditCard,,
053flBLSaMrfCZMkvTXN,APV AND,1,LP,6060,__Timestamp__2024-10-23T16:04:56.829Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Jue 24 octubre - Dom 27 octubre,Liverpool_CNC_PICK_PACK,TRUE,FALSE,5340000158,A,SL,712787,1000,Tarjeta,,
059jT2kqzIqWXG4l5FF1,WEB,3,LP,11000,__Timestamp__2024-07-26T17:58:35.986Z,3,,,__Timestamp__2024-07-26T17:58:25.000Z,27 de julio-30 de julio,Liverpool_CNC_PICK_PACK,,FALSE,6080000155,null,Soft Line,1029124821,199,creditCard,,
05FOcipMgUKxJcYVwr6u,WEB,3,LP,7918,__Timestamp__2024-10-29T13:57:59.416Z,3,,,__Timestamp__2024-10-29T13:57:47.000Z,31 de octubre-03 de noviembre,Fulfillment_Type_Liverpool,,FALSE,6560000181,A,Soft Line,1012877940,170,creditCard,,
05HPilloP5ofzPePa1gX,WEB,2,LP,31626,__Timestamp__2024-12-18T15:14:47.702Z,0,,,__Timestamp__2024-12-18T15:14:33.000Z,07 de enero-17 de enero,Fulfillment_Type_Liverpool,,FALSE,1690001181,B,Soft Line,1005764773,N/A,creditCard,,
05IkH5GfPFkCFHC7cF2N,WEB,1,LP,4500,__Timestamp__2024-11-19T00:29:10.547Z,0,,,__Timestamp__2024-11-19T00:28:54.000Z,19 de noviembre,Liverpool_CNC_PICK_PACK,,FALSE,5460000206,null,Soft Line,32103995,5,creditCard,,
05Jzb7P77K34VC0KDlcp,APV AND,1,LP,3100,__Timestamp__2025-03-20T14:46:09.017Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Sáb 22 marzo 2025,Fulfillment_Type_Liverpool,TRUE,FALSE,9800088883,A,BT,1032257328,103,Efectivo,22/03/2025,
05KyW23bwjLO0uhbDwKT,APV AND,1,LP,52997,__Timestamp__2025-01-20T18:01:32.407Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Recibe mañana - 18 de Julio,,TRUE,FALSE,290000189,B,,37337978,103,Efectivo,Recibe mañana,18 de Julio
05MTrN2qjrpLrg61remr,APV AND,1,LP,1400,__Timestamp__2024-12-27T16:28:42.089Z,1,,,__Timestamp__1970-01-01T00:00:00.000Z,Entrega mismo día - 27 de Diciembre 2024,Fulfillment_Type_Liverpool,TRUE,FALSE,1130001332,A,SL,4557573,103,Efectivo,,
05QjRBKi5S4stNpEkaba,WEB,1,LP,3310,__Timestamp__2025-04-22T23:49:18.287Z,0,,,__Timestamp__2025-04-22T23:48:43.000Z,23 de abril-26 de abril,Fulfillment_Type_Liverpool,,TRUE,7740000201,null,Soft Line,1030529525,N/A,creditCard,,
05bYW6Jl26uBZGhOGTOk,WEB,1,SBB,5348,__Timestamp__2025-02-14T14:55:53.767Z,10,,,__Timestamp__2025-02-14T14:55:40.000Z,28 de febrero-10 de marzo,Fulfillment_Type_Liverpool,,FALSE,sg1950950011,A,Big Ticket,SB5000217141,830,creditCard,28/02/2025,10/03/2025
